year,avg_temp
1764,51
1765,50
1766,51
1767,49
1768,48
1769,50
1770,49
1771,51
1772,50
1773,51
1774,50
1775,52
1776,50
1777,49
1778,46
1779,51
1780,55
1781,50
1782,49
1783,49
1784,49
1785,49
1786,50
1787,50
1788,51
1789,50
1790,50
1791,50
1792,49
1793,50
1794,51
1795,50
1796,50
1797,49
1798,51
1799,50
1800,50
1801,51
1802,51
1803,51
1804,51
1805,51
1806,50
1807,50
1808,50
1809,48
1810,49
1811,49
1812,47
1813,49
1814,49
1815,48
1816,47
1817,47
1818,49
1819,49
1820,48
1821,48
1822,50
1823,49
1824,49
1825,52
1826,50
1827,51
1828,52
1829,50
1830,52
1831,48
1832,51
1833,51
1834,52
1835,49
1836,48
1837,49
1838,48
1839,51
1840,50
1841,50
1842,51
1843,48
1844,51
1845,51
1846,52
1847,49
1848,50
1849,49
1850,50
1851,50
1852,50
1853,50
1854,52
1855,49
1856,48
1857,48
1858,51
1859,50
1860,50
1861,49
1862,49
1863,50
1864,49
1865,50
1866,48
1867,49
1868,48
1869,48
1870,51
1871,50
1872,48
1873,48
1874,50
1875,46
1876,49
1877,51
1878,52
1879,50
1880,51
1881,50
1882,51
1883,47
1884,49
1885,46
1886,49
1887,49
1888,48
1889,50
1890,50
1891,51
1892,49
1893,48
1894,51
1895,49
1896,51
1897,50
1898,50
1899,50
1900,51
1901,50
1902,50
1903,49
1904,47
1905,49
1906,51
1907,49
1908,51
1909,50
1910,50
1911,52
1912,48
1913,51
1914,50
1915,50
1916,50
1917,47
1918,50
1919,51
1920,50
1921,54
1922,52
1923,50
1924,48
1925,50
1926,48
1927,51
1928,50
1929,49
1930,51
1931,54
1932,51
1933,52
1934,52
1935,50
1936,50
1937,50
1938,53
1939,52
1940,49
1941,53
1942,51
1943,49
1944,51
1945,50
1946,53
1947,50
1948,51
1949,52
1950,49
1951,49
1952,52
1953,53
1954,52
1955,52
1956,51
1957,51
1958,50
1959,51
1960,50
1961,51
1962,50
1963,50
1964,52
1965,51
1966,50
1967,50
1968,51
1969,50
1970,51
1971,51
1972,49
1973,53
1974,51
1975,51
1976,50
1977,51
1978,49
1979,49
1980,50
1981,51
1982,50
1983,52
1984,51
1985,50
1986,51
1987,54
1988,52
1989,50
1990,53
1991,53
1992,50
1993,50
1994,51
1995,51
1996,49
1997,50
1998,55
1999,53
2000,52
2001,53
2002,53
2003,51
2004,52
2005,53
2006,53
2007,53
2008,50
2009,51
2010,53
2011,52
2012,55
2013,53
