year,avg_temp
1764,47
1765,47
1766,47
1767,47
1768,44
1769,46
1770,46
1771,46
1772,47
1773,47
1774,48
1775,49
1776,47
1777,47
1778,47
1779,48
1780,49
1781,47
1782,46
1783,46
1784,46
1785,45
1786,47
1787,46
1788,47
1789,47
1790,46
1791,47
1792,47
1793,47
1794,47
1795,47
1796,47
1797,47
1798,48
1799,47
1800,47
1801,47
1802,47
1803,47
1804,48
1805,47
1806,47
1807,47
1808,46
1809,45
1810,44
1811,44
1812,45
1813,46
1814,46
1815,45
1816,44
1817,45
1818,46
1819,45
1820,46
1821,47
1822,47
1823,46
1824,47
1825,47
1826,47
1827,48
1828,47
1829,46
1830,47
1831,46
1832,45
1833,46
1834,47
1835,45
1836,46
1837,45
1838,46
1839,46
1840,46
1841,46
1842,46
1843,47
1844,46
1845,46
1846,47
1847,47
1848,46
1849,46
1850,46
1851,47
1852,47
1853,46
1854,47
1855,47
1856,46
1857,46
1858,47
1859,47
1860,46
1861,46
1862,46
1863,47
1864,46
1865,47
1866,47
1867,47
1868,47
1869,47
1870,47
1871,47
1872,47
1873,47
1874,47
1875,46
1876,47
1877,47
1878,48
1879,47
1880,47
1881,47
1882,47
1883,46
1884,46
1885,46
1886,46
1887,46
1888,47
1889,47
1890,46
1891,46
1892,47
1893,47
1894,47
1895,47
1896,47
1897,47
1898,47
1899,47
1900,47
1901,47
1902,47
1903,47
1904,47
1905,47
1906,47
1907,46
1908,47
1909,47
1910,47
1911,47
1912,47
1913,47
1914,47
1915,47
1916,47
1917,46
1918,47
1919,47
1920,47
1921,47
1922,47
1923,47
1924,47
1925,47
1926,48
1927,47
1928,48
1929,47
1930,48
1931,48
1932,48
1933,47
1934,48
1935,47
1936,47
1937,48
1938,48
1939,48
1940,48
1941,48
1942,48
1943,48
1944,48
1945,47
1946,48
1947,48
1948,48
1949,47
1950,47
1951,48
1952,48
1953,48
1954,47
1955,48
1956,47
1957,48
1958,48
1959,48
1960,47
1961,48
1962,48
1963,48
1964,47
1965,47
1966,47
1967,48
1968,47
1969,47
1970,48
1971,47
1972,47
1973,48
1974,47
1975,48
1976,47
1977,48
1978,48
1979,48
1980,48
1981,49
1982,48
1983,48
1984,48
1985,48
1986,48
1987,48
1988,49
1989,48
1990,49
1991,49
1992,48
1993,48
1994,48
1995,49
1996,48
1997,49
1998,49
1999,49
2000,49
2001,49
2002,49
2003,49
2004,49
2005,49
2006,49
2007,50
2008,49
2009,49
2010,49
2011,49
2012,49
2013,49
